"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" юот с ебет в юлвол овтсдохс";"йолог";"сходство ловлю в тебе с тою ";"голой";", ";"бабьедебелой и девогрудой фрау трофейной, перед";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" и йолебедеьбаб ,йолог юот с ебет";"йодурговед";"тебе с тою голой, бабьедебелой и ";"девогрудой";" ";"фрау трофейной, перед которой мы ";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" дереп ,йонйефорт уарф йодурговед и йолебедеьбаб";"йороток";"бабьедебелой и девогрудой фрау трофейной, перед ";"которой";" ";"мы ";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" еще онваден кат ";"оннещумс";" так недавно еще ";"смущенно";" ";"рядом стояли, став разом старше, пальцами";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" мозар ватс ,иляотс модяр оннещумс еще";"ешратс";"еще смущенно рядом стояли, став разом ";"старше";", ";"пальцами соприкасаясь, еще не осознавая, что";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" ,ьсяасакирпос имацьлап ,ешратс мозар ватс ,иляотс";"еще";"стояли, став разом старше, пальцами соприкасаясь, ";"еще";" ";"не осознавая, что будет дальше… ";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" еще ,ьсяасакирпос имацьлап ,ешратс мозар ватс";"ен";"став разом старше, пальцами соприкасаясь, еще ";"не";" ";"осознавая, что будет дальше… ";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" тедуб отч ,яаванзосо ен еще ,ьсяасакирпос";"ешьлад";"соприкасаясь, еще не осознавая, что будет ";"дальше";"… ";"";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"55[пятьдесят пяты] - й (приписка к снимку), в парке, за школой и танцплощадкой… ты поправляешь в чулке резинку (классика психиатрии), украдкой я с безразличием пялюсь жадным на что-то белое и девичье, на… ― но сбивается ракурс (рад нам или не рад, кто блюдет приличья ― это за кадром)… ― но я, занудой, сходство ловлю в тебе с тою голой, бабьедебелой и девогрудой фрау трофейной, перед которой мы  так недавно еще смущенно рядом стояли, став разом старше, пальцами соприкасаясь, еще не осознавая, что будет дальше… "
" ым – ьнзороп и етсемВ";"илатсилорп";"Вместе и порознь – мы ";"пролистали";" ";"в темных аллеях Фрейда с Назоном";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" с адйерФ хяелла хынмет в илатсилорп";"монозаН";"пролистали в темных аллеях Фрейда с ";"Назоном";"… ";"как незнакомку в «Национале» встречу тебя";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
"« в укмоканзен как …монозаН с адйерФ";"еланоицаН";"Фрейда с Назоном… как незнакомку в «";"Национале";"» ";"встречу тебя я в кругу знакомом";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" угурк в я ябет учертсв »еланоицаН";"момоканз";"Национале» встречу тебя я в кругу ";"знакомом";"; ";"десятилетие окончанья школы, и дети к";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" еителитясед ;момоканз угурк в я ябет";"яьначноко";"тебя я в кругу знакомом; десятилетие ";"окончанья";" ";"школы, и дети к концу обеда";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" уцнок к итед и ,ылокш яьначноко";"адебо";"окончанья школы, и дети к концу ";"обеда";"; ";"несостоявшееся свиданье несостоявшегося поэта; и лейтенантик";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" ясеешвяотсосен ;адебо уцнок к итед и";"еьнадивс";"и дети к концу обеда; несостоявшееся ";"свиданье";" ";"несостоявшегося поэта; и лейтенантик твой с";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" ясогешвяотсосен еьнадивс ясеешвяотсосен ;адебо уцнок к";"атэоп";"к концу обеда; несостоявшееся свиданье несостоявшегося ";"поэта";"; ";"и лейтенантик твой с захудалым cаr";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" с йовт китнанетйел и ;атэоп ясогешвяотсосен";"мыладухаз";"несостоявшегося поэта; и лейтенантик твой с ";"захудалым";" ";"cаr’ом ― не я с худым";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" мыдух с я ен ― мо’rаc";"морароног";"cаr’ом ― не я с худым ";"гонораром";" ― ";"чем не Аякс! ";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" мынвиткепсреп с ― ";"мылам";" ― с перспективным ";"малым";" ";"быть тебе, фрау, за генералом, если";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" аз ,уарф ,ебет ьтыб мылам мынвиткепсреп";"моларенег";"перспективным малым быть тебе, фрау, за ";"генералом";", ";"если, конечно, из комсостава не отзовет";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
" зи ,онченок ,илсе ,моларенег аз ,уарф";"аватсосмок";"фрау, за генералом, если, конечно, из ";"комсостава";" ";"не отзовет его раньше бахус, впрочем";"О. Г. Чухонцев. «55-й (приписка к снимку)…» | К небывшему (2016)";"О. Г. Чухонцев";"1938";"«55-й (приписка к снимку)…» | К небывшему";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Вместе и порознь – мы пролистали в темных аллеях Фрейда с Назоном… как незнакомку в «Национале» встречу тебя я в кругу знакомом; десятилетие окончанья школы, и дети к концу обеда; несостоявшееся свиданье несостоявшегося поэта; и лейтенантик твой с захудалым cаr’ом ― не я с худым гонораром ― чем не Аякс!  ― с перспективным малым быть тебе, фрау, за генералом, если, конечно, из комсостава не отзовет его раньше бахус, впрочем, равняться налево-право то же примерно, что жрать антабус. "
